uge;vare;;oms
;;;417
I alt;;;417
Uge 2021-41;I alt;;249
Uge 2021-41;5700382516469;Courgette;75
Uge 2021-41;5700382815340;Øko 365 Gulerødder 1;36
Uge 2021-41;5700383878061;San Marzanotomat;33
Uge 2021-41;5750006326691;Ängla Broccoli;62
Uge 2021-41;7340011481782;Øko ÄM HK Spinat;4
Uge 2021-41;7340011487906;ØKO ÄNGLAMARK KIKÆRTER 380/230 G;30
Uge 2021-41;7340191112582;Øko ÄM Broccoli 400g;5
Uge 2021-41;7340191112711;Coop HK spinat 1kg;4
Uge 2021-42;I alt;;168
Uge 2021-42;5700382516469;Courgette;74
Uge 2021-42;5700382815340;Øko 365 Gulerødder 1;4
Uge 2021-42;5700383878061;San Marzanotomat;25
Uge 2021-42;5750006326691;Ängla Broccoli;31
Uge 2021-42;7340011481782;Øko ÄM HK Spinat;4
Uge 2021-42;7340011487906;ØKO ÄNGLAMARK KIKÆRTER 380/230 G;19
Uge 2021-42;7340191112582;Øko ÄM Broccoli 400g;5
Uge 2021-42;7340191112711;Coop HK spinat 1kg;6
