variableName,variableDescription
"s_1","Jeg kunne godt tænke mig at mine indkøb var mere klimavenlige "
"s_2","Jeg går op i at handle klimavenligt"
"s_3","Jeg prioriterer lavere priser over det klimabevidste valg "
"s_4","Jeg er villig til at ændre mine indkøbsvaner, så de bliver mere klimavenlige "
"s_5","Der er så mange hensyn at tage i forhold til indkøb, så jeg prioriterer ikke klimaet  "
"s_6","Jeg føler mig godt oplyst om hvilke varer der er klimavenlige "
"s_7","Jeg opsøger tit information om klimaaftrykket på varernes mærkater "
"s_8","Jeg savner mærkater eller skilte, der fremhæver klimavenlige varer i supermarkedet "
"s_9","Jeg prioriterer at spise sæsonbestemte madvarer (fx frugt og grønt) "
"s_10","Jeg prioriterer at spise danske varer "
"s_11","Jeg går op i at indrette min kost, så den bliver mere klimavenlig "
"s_12","Jeg synes ikke, at udvalget af klimavenlige produkter er stort nok "
"s_13","Jeg mangler inspiration til mere klimavenlige alternativer og opskrifter "
"s_14","Jeg synes, at det er svært at ændre mine madvaner, så de bliver mere klimavenlige   "
"s_15","Jeg synes, at det er uoverskueligt at finde klimavenlige produkter i supermarkedet "
"s_16","Jeg prioriterer, at indkøb skal gå hurtigt, hvilket sommetider gør valget af varer mere tilfældig "
"s_17","Jeg bruger ofte ekstra tid på at finde klimavenlige alternativer "
"s_18","Jeg synes, at klimavenlige varer skal placeres mere tilgængeligt end ikke-klimavenlige varer i supermarkedet "
"email","E-mail"
"statoverall_1","Samlet status - Ny"
"statoverall_2","Samlet status - Distribueret"
"statoverall_3","Samlet status - Nogen svar"
"statoverall_4","Samlet status - Gennemført"
"statoverall_5","Samlet status - Frafaldet"
"s_19","Hvor besvarer du dette spørgsmål henne?"
"s_20","Hvilken grund er der til, at du ikke ønsker dette?"
"s_21","Hvilken grund er der til, at du ikke ønsker dette? - Andet:"
