"","uge","Vare","X4","oms","prod_cat","ID"
"1","Uge 2021-41","57095370","KILDEV<c6>LD 50CL",29,"water",67
"2","Uge 2021-41","5700380222096","R<f8>dbeder 1,5 kg.",1,"beats",68
"3","Uge 2021-41","5700380268926","<d8>KO <c4>M SPIDSK<c5>L",20,"cale",69
"4","Uge 2021-41","5700380269572","L<f8>g 1 kg 40-60 mm",44,"tomato",70
"5","Uge 2021-41","5700380394816","Kart Lammefjord 1,5",10,"potato",71
"6","Uge 2021-41","5700380806210","Knoldselleri",8,"celeriac",72
"7","Uge 2021-41","5700380988244","Hvidk<e5>l 1000-1800 gr",5,"cale",73
"8","Uge 2021-41","5700381206774","<d8>ko <c4>M porrer 1 stk",39,"leek",74
"9","Uge 2021-41","5700381232315","<d8>KO <c4>M KART SM<c5>",15,"potato",75
"10","Uge 2021-41","5700381563587","COOP DANSKVAND 2L",28,"water",76
"11","Uge 2021-41","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",4,"cale",77
"12","Uge 2021-41","5700381715467","Br<f8>dC MINERALV 50cL",293,"bread",78
"13","Uge 2021-41","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",2,"cale",79
"14","Uge 2021-41","5700381768852","SF HINDB<c6>R 170 g.",12,"berries",80
"15","Uge 2021-41","5700381779827","Porrer",43,"leek",81
"16","Uge 2021-41","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",9,"flour",82
"17","Uge 2021-41","5700382004812","<d8>ko <c4>M Portobello",3,"mushrooms",83
"18","Uge 2021-41","5700382039487","P<e6>rer, store 6stk.DK",7,"pear",84
"19","Uge 2021-41","5700382094080","<c4>ngla <f8>ko datterino",25,"tomato",85
"20","Uge 2021-41","5700382338535","<d8>ko Spinat 200 gr",37,"j",86
"21","Uge 2021-41","5700382391622","Spidsk<e5>l",62,"cale",87
"22","Uge 2021-41","5700382516469","Courgette",20,"squash",88
"23","Uge 2021-41","5700382724581","Broccoli",39,"broccoli",89
"24","Uge 2021-41","5700382729920","X-tra Kartofler 2 kg",16,"potato",90
"25","Uge 2021-41","5700382739325","<d8>KO <c4>M KART 1 KG",38,"potato",91
"26","Uge 2021-41","5700382788019","<d8>KO <c4>NGLA. <c6>BLE Stor",18,"apples",92
"27","Uge 2021-41","5700382801596","Blommer",24,"plums",93
"28","Uge 2021-41","5700382815340","<d8>ko 365 Guler<f8>dder 1",32,"carrots",94
"29","Uge 2021-41","5700382948277","Guler<f8>dder h<e5>ndsort.",9,"carrots",95
"30","Uge 2021-41","5700383052218","Cocktail tomater",1,"tomato",96
"31","Uge 2021-41","5700383201715","<d8>ko S<f8>ris Kart 750 g",14,"potato",97
"32","Uge 2021-41","5700383591045","<d8>ko Courgetter",46,"squash",98
"33","Uge 2021-41","5700383878061","San Marzanotomat",23,"tomato",99
"34","Uge 2021-41","5700383979614","<c6>bler 6-8stk/bk. DK",NA,"apples",100
"35","Uge 2021-41","5700384125287","<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG",6,"flour",101
"36","Uge 2021-41","5700384380556","<c4>M <d8>ko Blommetomater",13,"tomato",102
"37","Uge 2021-41","5700384882302","SF Mix tomater",10,"tomato",103
"38","Uge 2021-41","5700384899577","R<d8>DK<c5>L 1000-2000 GR",3,"cale",104
"39","Uge 2021-41","5700384984211","GULER<d8>DDER 1,5 KG",21,"carrots",105
"40","Uge 2021-41","5701677001257","CHAMPIGNON 250 gr.",13,"mushrooms",106
"41","Uge 2021-41","5750006300721","Kart Vildmose 1,5 kg",31,"potato",107
"42","Uge 2021-41","5750006304415","SF Kart Asparges 1 k",4,"potato",108
"43","Uge 2021-41","5750006321023","<c4>NGLA P<c6>RER 500gr",5,"pear",109
"44","Uge 2021-41","5750006323393","<d8>KO <c4>M Guler<f8>dder 1",25,"carrots",110
"45","Uge 2021-41","5750006326691","<c4>ngla Broccoli",23,"broccoli",111
"46","Uge 2021-41","5750006327728","<c4>ngla R<f8>dbeder 1 kg",6,"beats",112
"47","Uge 2021-41","5750006329289","Blomk<e5>l",62,"cale",113
"48","Uge 2021-41","5750006331084","Kartofler Bage 1,5 k",10,"potato",114
"49","Uge 2021-41","5750006339622","Kartofler Mos 2 kg",8,"potato",115
"50","Uge 2021-41","5750006343506","<c4>ngla <d8>ko tomater",8,"tomato",116
"51","Uge 2021-41","5750006344084","Angla R<f8>dl<f8>g 750 gr",13,"onion",117
"52","Uge 2021-41","5750006344138","K&A Classic tomater",9,"tomato",118
"53","Uge 2021-41","5750006361050","P<c6>RER 1KG",30,"pear",119
"54","Uge 2021-41","5750006363634","<c4>nglamark <e6>bler 1 kg",15,"apples",120
"55","Uge 2021-41","5756605000390","Kart Alexandra 850 g",4,"potato",121
"56","Uge 2021-41","7340011320777","<d8>KO <c4>NGLAMARK MAJSMEL 500 G",2,"flour",122
"57","Uge 2021-41","7340011321194","COOP MINERALVAND 50C",133,"water",123
"58","Uge 2021-41","7340011340058","L<d8>SE MAJS X-TRA 300/285 G",18,"corn",124
"59","Uge 2021-41","7340011351085","COOP L<d8>SE MAJS 3-PAK 594/504 G",9,"corn",125
"60","Uge 2021-41","7340011352549","FULDKORNSMEL COOP 1 KG",7,"flour",126
"61","Uge 2021-41","7340011364368","COOP MINERALVAND 2L",29,"water",127
"62","Uge 2021-41","7340011464587","X-TRA R<d8>DBEDER I SKIVER 670/430 G",5,"beats",128
"63","Uge 2021-41","7340011481782","<d8>ko <c4>M HK Spinat",4,"j",129
"64","Uge 2021-41","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G",33,"chickpea",130
"65","Uge 2021-41","7340191112582","<d8>ko <c4>M Broccoli 400g",5,"broccoli",131
